open: ,14.875,    high: ,15.25,   low: ,14.5625,  yester close: ,0.96359899999999998, volume: ,113078000,up
open: ,14.5,    high: ,16.6875,   low: ,14.4375,  yester close: ,1.0607690000000001, volume: ,204268400,up
open: ,18.140599999999999,    high: ,18.5,   low: ,16.812498999999999,  yester close: ,1.105305, volume: ,184849000,down
open: ,16.9375,    high: ,17.375,   low: ,16.0625,  yester close: ,1.0607690000000001, volume: ,103089000,up
open: ,16.9375,    high: ,16.984301000000002,   low: ,15.937498999999999,  yester close: ,1.0729150000000001, volume: ,93424800,up
open: ,16.812498999999999,    high: ,17.640601,   low: ,16.5625,  yester close: ,1.113402, volume: ,147232400,down
open: ,16.6875,    high: ,17.0,   low: ,16.0625,  yester close: ,1.0729150000000001, volume: ,145195400,up
open: ,16.25,    high: ,18.5,   low: ,16.25,  yester close: ,1.1660360000000001, volume: ,200933600,down
open: ,17.875,    high: ,18.0,   low: ,17.0625,  yester close: ,1.113402, volume: ,105844200,down
open: ,17.4375,    high: ,18.25,   low: ,17.0,  yester close: ,1.1093540000000002, volume: ,76529600,down
open: ,17.5625,    high: ,17.5625,   low: ,16.5,  yester close: ,1.08911, volume: ,210218400,up
open: ,17.8125,    high: ,18.75,   low: ,17.625,  yester close: ,1.210572, volume: ,306752600,up
open: ,19.437498999999999,    high: ,19.5625,   low: ,18.6875,  yester close: ,1.2632060000000001, volume: ,194166000,down
open: ,19.062501000000001,    high: ,19.625,   low: ,18.4375,  yester close: ,1.2470110000000001, volume: ,129831800,up
open: ,19.3125,    high: ,20.9375,   low: ,19.062501000000001,  yester close: ,1.327985, volume: ,219882600,down
open: ,20.625,    high: ,20.6875,   low: ,19.5625,  yester close: ,1.327985, volume: ,179272800,down
open: ,20.5625,    high: ,20.5625,   low: ,19.75,  yester close: ,1.291547, volume: ,122427200,down
open: ,19.500001000000001,    high: ,19.8125,   low: ,19.062501000000001,  yester close: ,1.2672540000000001, volume: ,120705200,up
open: ,19.5625,    high: ,21.75,   low: ,19.5625,  yester close: ,1.404911, volume: ,213882200,up
open: ,21.5625,    high: ,22.0,   low: ,20.875,  yester close: ,1.40896, volume: ,173105800,down
open: ,21.5,    high: ,22.499998999999999,   low: ,21.4375,  yester close: ,1.400863, volume: ,182676200,down
open: ,20.6875,    high: ,21.5,   low: ,20.5,  yester close: ,1.3684730000000001, volume: ,92423800,down
open: ,21.125,    high: ,21.9375,   low: ,20.5,  yester close: ,1.3360829999999999, volume: ,106835400,down
open: ,20.5,    high: ,20.5625,   low: ,19.75,  yester close: ,1.307742, volume: ,71528800,up
open: ,20.156200999999999,    high: ,21.390599999999999,   low: ,20.0,  yester close: ,1.3684730000000001, volume: ,115677800,down
open: ,20.656199999999998,    high: ,20.875,   low: ,19.8125,  yester close: ,1.3441799999999999, volume: ,98471800,down
open: ,20.5625,    high: ,21.0625,   low: ,20.1875,  yester close: ,1.3441799999999999, volume: ,151032000,down
open: ,20.5,    high: ,20.812501000000001,   low: ,18.6875,  yester close: ,1.2389129999999999, volume: ,147520800,up
open: ,19.062501000000001,    high: ,20.0,   low: ,18.8125,  yester close: ,1.275352, volume: ,68530000,down
open: ,19.937501000000001,    high: ,20.4375,   low: ,18.999998999999999,  yester close: ,1.2389129999999999, volume: ,59267600,up
open: ,19.1875,    high: ,19.625,   low: ,18.5,  yester close: ,1.2632060000000001, volume: ,77280000,up
open: ,19.6875,    high: ,20.5625,   low: ,19.6875,  yester close: ,1.299644, volume: ,77854000,down
open: ,18.999998999999999,    high: ,19.500001000000001,   low: ,18.75,  yester close: ,1.2308159999999999, volume: ,65977800,down
open: ,19.1875,    high: ,19.437498999999999,   low: ,18.187501000000001,  yester close: ,1.18628, volume: ,78723400,up
open: ,18.25,    high: ,19.937501000000001,   low: ,18.25,  yester close: ,1.222718, volume: ,97564600,down
open: ,19.062501000000001,    high: ,19.375,   low: ,18.0,  yester close: ,1.2186700000000001, volume: ,107990400,down
open: ,18.625001000000001,    high: ,18.875,   low: ,18.25,  yester close: ,1.2186700000000001, volume: ,73466400,up
open: ,19.062501000000001,    high: ,19.6875,   low: ,18.562498999999999,  yester close: ,1.2632060000000001, volume: ,51609600,down
open: ,19.281200999999999,    high: ,19.437498999999999,   low: ,18.6875,  yester close: ,1.2551079999999999, volume: ,87129000,down
open: ,19.375,    high: ,19.437498999999999,   low: ,18.124998999999999,  yester close: ,1.182231, volume: ,127058400,up
open: ,17.8125,    high: ,18.75,   low: ,17.1875,  yester close: ,1.214621, volume: ,82615400,up
open: ,18.3125,    high: ,20.4375,   low: ,18.25,  yester close: ,1.2470110000000001, volume: ,101550400,up
open: ,19.375,    high: ,20.5,   low: ,19.25,  yester close: ,1.319888, volume: ,81043200,up
open: ,20.718699999999998,    high: ,22.062498999999999,   low: ,20.6875,  yester close: ,1.392765, volume: ,182950600,down
open: ,21.3125,    high: ,21.624998999999999,   low: ,20.749998999999999,  yester close: ,1.3765700000000001, volume: ,104885200,down
open: ,20.6875,    high: ,21.125,   low: ,20.4375,  yester close: ,1.3482290000000001, volume: ,51214800,down
open: ,20.625,    high: ,20.6875,   low: ,20.0,  yester close: ,1.31179, volume: ,74783800,down
open: ,19.6875,    high: ,19.874998999999999,   low: ,18.124998999999999,  yester close: ,1.206523, volume: ,97755000,up
open: ,18.875,    high: ,19.5625,   low: ,18.187501000000001,  yester close: ,1.2672540000000001, volume: ,110832400,up
open: ,18.5,    high: ,20.5,   low: ,18.4375,  yester close: ,1.3239370000000001, volume: ,119443800,down
open: ,20.875,    high: ,21.375,   low: ,19.6875,  yester close: ,1.275352, volume: ,132329400,down
open: ,18.999998999999999,    high: ,20.312498999999999,   low: ,18.875,  yester close: ,1.2713030000000001, volume: ,117579000,up
open: ,19.75,    high: ,20.625,   low: ,19.500001000000001,  yester close: ,1.3320339999999999, volume: ,89002200,down
open: ,20.718699999999998,    high: ,20.9375,   low: ,19.6875,  yester close: ,1.275352, volume: ,124801600,up
open: ,19.781199999999998,    high: ,20.875,   low: ,19.375,  yester close: ,1.303693, volume: ,92843800,up
open: ,20.375001000000001,    high: ,21.75,   low: ,20.1875,  yester close: ,1.400863, volume: ,180825400,up
open: ,22.062498999999999,    high: ,23.5625,   low: ,22.0,  yester close: ,1.489935, volume: ,236222000,down
open: ,23.129999999999999,    high: ,23.75,   low: ,21.129999999999999,  yester close: ,1.410903, volume: ,183612800,up
open: ,21.940000000000001,    high: ,23.050000000000001,   low: ,21.900001,  yester close: ,1.4815129999999999, volume: ,135955400,down
open: ,22.079999999999998,    high: ,22.499998999999999,   low: ,21.5,  yester close: ,1.4361680000000001, volume: ,146165600,up
open: ,21.769998999999999,    high: ,23.449998999999998,   low: ,21.5,  yester close: ,1.4594879999999999, volume: ,153266400,down
open: ,22.550000000000001,    high: ,22.719998999999998,   low: ,21.339998999999999,  yester close: ,1.4296899999999999, volume: ,100087400,down
open: ,22.09,    high: ,22.66,   low: ,21.400001,  yester close: ,1.398595, volume: ,85227800,down
open: ,21.359999999999999,    high: ,21.400001,   low: ,20.129999999999999,  yester close: ,1.3111429999999999, volume: ,92171800,down
open: ,19.760000000000002,    high: ,20.25,   low: ,18.75,  yester close: ,1.2632060000000001, volume: ,171371200,up
open: ,20.599999,    high: ,22.499998999999999,   low: ,20.0,  yester close: ,1.3519540000000001, volume: ,111690600,down
open: ,20.800000000000001,    high: ,21.039998999999998,   low: ,19.899999999999999,  yester close: ,1.3338159999999999, volume: ,81222400,down
open: ,20.690000000000001,    high: ,21.339998999999999,   low: ,20.059999999999999,  yester close: ,1.3305770000000001, volume: ,66645600,up
open: ,20.899998999999998,    high: ,22.700001,   low: ,20.780000000000001,  yester close: ,1.427746, volume: ,114343600,down
open: ,22.98,    high: ,23.000001000000001,   low: ,21.280000000000001,  yester close: ,1.412199, volume: ,83524000,up
open: ,21.420000000000002,    high: ,23.02,   low: ,21.149999999999999,  yester close: ,1.4523629999999998, volume: ,74733400,down
open: ,22.09,    high: ,22.399999999999999,   low: ,20.859999999999999,  yester close: ,1.3888780000000001, volume: ,71306200,down
open: ,21.199999999999999,    high: ,21.210000000000001,   low: ,19.600000000000001,  yester close: ,1.321507, volume: ,171299800,up
open: ,21.57,    high: ,24.079999999999998,   low: ,21.079999999999998,  yester close: ,1.4763310000000001, volume: ,275210600,up
open: ,25.550001000000002,    high: ,25.75,   low: ,23.599999,  yester close: ,1.6661360000000001, volume: ,468417600,down
open: ,24.93,    high: ,25.630001,   low: ,24.600001000000002,  yester close: ,1.6220860000000001, volume: ,173350800,down
open: ,24.34,    high: ,25.0,   low: ,24.0,  yester close: ,1.57091, volume: ,135381400,down
open: ,24.329999000000001,    high: ,24.750001000000001,   low: ,23.510001000000003,  yester close: ,1.5566580000000001, volume: ,94284400,up
open: ,24.210000000000001,    high: ,24.859999999999999,   low: ,23.57,  yester close: ,1.601356, volume: ,82695200,down
open: ,25.170000000000002,    high: ,26.100000000000001,   low: ,24.680001000000001,  yester close: ,1.599413, volume: ,199924200,up
open: ,25.199998999999998,    high: ,26.289998999999998,   low: ,24.750001000000001,  yester close: ,1.69723, volume: ,113253000,down
open: ,26.699999999999999,    high: ,27.120000000000001,   low: ,24.870000000000001,  yester close: ,1.6512360000000001, volume: ,123694200,up
open: ,25.410001000000001,    high: ,26.500001000000001,   low: ,25.199998999999998,  yester close: ,1.6797400000000002, volume: ,106813000,up
open: ,26.34,    high: ,26.699999999999999,   low: ,25.760000000000002,  yester close: ,1.722494, volume: ,92131200,down
open: ,25.969999999999999,    high: ,26.25,   low: ,24.73,  yester close: ,1.616903, volume: ,75385800,up
open: ,24.240000999999999,    high: ,25.849999,   low: ,23.959999,  yester close: ,1.6680790000000001, volume: ,70263200,down
open: ,25.620001000000002,    high: ,25.760000000000002,   low: ,24.839998999999999,  yester close: ,1.616903, volume: ,69137600,down
open: ,25.349999,    high: ,25.449999999999999,   low: ,23.950001,  yester close: ,1.591639, volume: ,78859200,down
open: ,24.140000000000001,    high: ,24.549999,   low: ,23.669999000000001,  yester close: ,1.5534190000000001, volume: ,81222400,down
open: ,24.210000000000001,    high: ,24.5,   low: ,22.949999999999999,  yester close: ,1.489935, volume: ,72244200,down
open: ,23.009999000000001,    high: ,23.489999999999998,   low: ,22.760000000000002,  yester close: ,1.480218, volume: ,50761200,up
open: ,22.890000000000001,    high: ,23.68,   low: ,22.75,  yester close: ,1.508721, volume: ,77305200,down
open: ,23.369999,    high: ,25.5,   low: ,23.039999999999999,  yester close: ,1.501595, volume: ,59256400,up
open: ,23.260000000000002,    high: ,24.5,   low: ,22.850001000000002,  yester close: ,1.5611930000000001, volume: ,80582600,down
open: ,24.23,    high: ,24.329999000000001,   low: ,23.25,  yester close: ,1.5255639999999999, volume: ,83029800,down
open: ,23.360001,    high: ,23.640000000000001,   low: ,23.120000000000001,  yester close: ,1.524268, volume: ,39762800,up
open: ,23.629999999999999,    high: ,23.91,   low: ,23.050000000000001,  yester close: ,1.5262120000000001, volume: ,115249400,down
open: ,24.0,    high: ,24.129999999999999,   low: ,23.399999999999999,  yester close: ,1.5223249999999999, volume: ,103229000,down
open: ,23.75,    high: ,23.75,   low: ,22.859998999999998,  yester close: ,1.504834, volume: ,70260400,down
open: ,23.290001,    high: ,23.299999,   low: ,22.620000000000001,  yester close: ,1.502891, volume: ,67939200,down
open: ,23.199999999999999,    high: ,23.290001,   low: ,22.499998999999999,  yester close: ,1.4743879999999998, volume: ,39685800,down
open: ,22.32,    high: ,22.499998999999999,   low: ,20.810001,  yester close: ,1.390822, volume: ,128997400,down
open: ,20.760000000000002,    high: ,20.760000000000002,   low: ,19.299999,  yester close: ,1.281344, volume: ,194269600,up
open: ,19.799999,    high: ,20.239998999999997,   low: ,19.489999999999998,  yester close: ,1.2923559999999998, volume: ,110723200,up
open: ,20.129999999999999,    high: ,21.09,   low: ,19.98,  yester close: ,1.3532500000000001, volume: ,114018800,down
open: ,21.079999999999998,    high: ,21.109998999999998,   low: ,20.459999,  yester close: ,1.3383499999999999, volume: ,70480200,up
open: ,20.800000000000001,    high: ,21.100001000000002,   low: ,20.350000000000001,  yester close: ,1.3564889999999998, volume: ,117948600,down
open: ,20.93,    high: ,20.93,   low: ,20.329999999999998,  yester close: ,1.3428850000000001, volume: ,55794200,up
open: ,20.710000000000001,    high: ,21.699998999999998,   low: ,20.450001,  yester close: ,1.40313, volume: ,81295200,down
open: ,21.649999999999999,    high: ,21.649999999999999,   low: ,20.710000000000001,  yester close: ,1.381105, volume: ,85656200,down
open: ,21.049999,    high: ,21.07,   low: ,19.949998999999998,  yester close: ,1.298187, volume: ,73500000,up
open: ,19.77,    high: ,20.690000000000001,   low: ,19.760000000000002,  yester close: ,1.315677, volume: ,75948600,up
